Acceleration;Braking;Steering;Clutch;Gear; Gear; SpeedX;TrackPosition;Angle;Track_1;Track_2;Track_3;Track_4;Track_5;Track_6;Track_7;Track_8;Track_9;Track_10;Track_11;Track_12;Track_13;Track_14;Track_15;Track_16;Track_17;Track_18;Track_19
1.0;0.0;-0.028559213504195213;0.6399999856948853;1;0;0.0;0.333332;0.0;400.001;414.111;522.164;69.738;116.952;154.548;230.351;458.949;200.0;200.0;200.0;917.896;460.701;309.096;233.904;139.476;104.433;82.822;799.999
0.11403417587280273;0.0;-0.028560053557157516;0.6399999856948853;1;1;0.541764;0.333332;-2,22E-01;400.001;414.111;522.163;697.378;116.952;154.547;230.348;458.938;200.0;200.0;200.0;91.792;460.707;309.099;233.906;139.476;104.433;828.221;799.999
1.0;0.0;-0.028549499809741974;0.6399999856948853;1;1;0.938913;0.333332;2,44E+00;400.001;414.114;522.174;697.404;11.696;154.562;230.383;459.077;200.0;200.0;200.0;917.641;460.638;309.068;233.888;139.471;10.443;828.215;799.999
0.6046249866485596;0.0;-0.028555801138281822;0.6399999856948853;1;1;166.347;0.333332;8,60E-01;400.001;414.112;522.167;697.388;116.955;154.553;230.362;458.994;200.0;200.0;200.0;917.806;460.679;309.086;233.899;139.474;104.432;828.218;799.999
1.0;0.0;-0.028558399528265;0.6399999856948853;1;1;24.631;0.333332;1,88E-01;400.001;414.111;522.165;697.382;116.953;154.549;230.354;458.959;200.0;200.0;200.0;917.877;460.696;309.094;233.903;139.475;104.432;82.822;799.999
1.0;0.0;-0.028551260009407997;0.6399999856948853;1;1;334.266;0.333332;1,98E+00;400.001;414.113;522.172;6.974;116.959;15.456;230.377;459.053;200.0;200.0;200.0;917.688;46.065;309.073;233.891;139.472;104.431;828.216;799.999
1.0;0.0;-0.028520718216896057;0.6399999856948853;1;1;433.711;0.333333;9,69E+00;4.0;414.121;522.205;697.475;116.983;154.604;230.477;459.457;200.0;200.0;200.0;916.882;460.449;308.985;233.842;139.456;104.424;828.199;8.0
1.0;0.0;-0.02848256193101406;0.6399999856948853;1;1;518.895;0.333333;1,93E+01;4.0;414.132;522.247;697.571;117.014;154.659;230.603;459.962;200.0;200.0;200.0;91.588;460.199;308.874;233.781;139.437;104.416;828.178;8.0
1.0;0.0;-0.028438037261366844;0.6399999856948853;1;1;608.897;0.333333;3,05E+01;4.0;414.144;522.296;697.682;11.705;154.724;230.749;460.552;200.0;200.0;200.0;914.713;459.907;308.745;233.709;139.415;104.406;828.153;8.0
1.0;0.0;-0.028394455090165138;0.6399999856948853;1;1;681.811;0.333333;4,14E+01;4.0;414.156;522.344;697.791;117.085;154.787;230.893;461.131;200.0;200.0;200.0;913.573;459.622;308.619;233.639;139.393;104.396;828.129;8.0
